Source,Sink,AA,JA,PA,Id,common_neighbors
2184483,1300190,0.0,0.0,435,1,0
3151356,1452193,0.4077046379985356,0.006259780907668232,102306,2,4
1579396,193159,0.0,0.0,418,3,0
1406432,2481036,1.2388975904578436,0.0625,2838,4,7
2389638,593017,0.8028118928629641,0.012072434607645876,62196,5,6
228206,212805,2.357317109050002,0.013474494706448507,16592,6,14
1237964,879115,0.09064235218597792,0.002012072434607646,7712,7,1
3318124,1840575,0.15745835220560253,0.0078125,2678,8,1
4522929,1552625,0.15832409171119385,0.003976143141153081,27846,9,2
3406737,3781412,0.0,0.0,60,10,0
1567983,3008412,0.25787794265940944,0.017341040462427744,7728,11,3
4370932,2906415,0.13116249633508392,0.009433962264150943,210,12,1
286240,474307,0.0,0.0,3354,13,0
4796773,3115614,0.10231101227470572,0.006535947712418301,745,14,1
2207765,4354226,0.9829359729366092,0.0039946737683089215,271491,15,6
1283384,279636,0.0,0.0,9660,16,0
368544,2431466,0.4558430713087517,0.0017338534893801473,404920,17,4
3921857,4512147,0.0,0.0,201,18,0
49037,3175009,0.07383035914027619,0.0009852216748768472,1015,19,1
61633,1064392,0.671689770627829,0.0851063829787234,344,20,4
1459453,654182,0.0,0.0,434,21,0
447597,2736867,0.0,0.0,9056,22,0
2121585,3413796,0.0,0.0,408,23,0
933347,1131654,1.8378051187883384,0.001990049751243781,851960,24,18
3733033,488937,0.0,0.0,808,25,0
3023014,2817859,0.3049696999250657,0.005555555555555557,3861,26,2
1404783,410037,0.0,0.0,225,27,0
1886158,3656408,1.4417001468049446,0.02540415704387991,46784,28,11
3316731,4579088,0.5681191382254661,0.00825082508250825,52728,29,5
2369031,1860112,0.9468609721949292,0.0103397341211226,69875,30,7
2850334,755258,0.0,0.0,158368,31,0
4606553,2879440,0.0,0.0,270,32,0
3013323,2064734,0.3865613100432344,0.0008669267446900738,794581,33,4
1653770,1190291,2.6171607794785263,0.631578947368421,240,34,12
4540325,202508,0.0,0.0,14720,35,0
4189431,4404645,0.27615617397737025,0.00477326968973747,838,36,2
1590268,3824559,0.0,0.0,68,37,0
2717491,421433,0.0,0.0,4662,38,0
71500,2156609,0.0,0.0,1260,39,0
2422900,325927,0.0,0.0,6188,40,0
784291,4194667,0.12979661495688088,0.0013280212483399733,64845,41,1
3836480,4207316,0.3966990932571174,0.00974025974025974,8680,42,3
2570161,3824301,0.0,0.0,399,43,0
2574465,1663756,0.0,0.0,1084,44,0
195757,4324049,1.7879590641586316,0.006918021445866482,207174,45,20
3501584,624570,0.08787672930771424,0.00423728813559322,4340,46,1
2342205,3520804,0.0,0.0,4482,47,0
2067826,727427,0.2930092313691034,0.00010874687352738608,137925,48,3
4787138,2365654,2.961285871128532,0.1875,4002,49,21
2907109,1536763,0.17112901496657407,0.004484304932735426,5655,50,1
2979388,2811074,5.42876599029407,0.020810907786149985,625200,51,58
2773866,3562714,1.7698220081392848,0.0185546875,271542,52,19
3467832,3446682,0.1138929767924529,0.0036764705882352936,15552,53,1
209191,3142365,2.411548155760436,0.005597468970552446,578115,54,23
1630356,2157727,0.0,0.0,231,55,0
662368,853327,0.4655477681076136,0.010309278350515464,17100,56,4
3151576,4278188,0.08770619340726442,0.0011086474501108647,28710,57,1
2671870,4797151,0.0,0.0,115,58,0
3536080,614747,2.144934570738994,0.014964216005204943,141911,59,23
2541283,1592987,0.5062133729392804,0.004835589941972921,170340,60,5
3848381,903626,1.2962656148667713,0.027548209366391185,7060,61,10
811898,3593324,0.0,0.0,114,62,0
231650,4016607,2.1290006236244494,0.017683465959328033,266430,63,20
1305368,3362916,0.0,0.0,17464,64,0
3275981,2183299,0.0,0.0,651,65,0
3863858,4710588,0.08641664237211644,0.0005530973451327434,79380,66,1
938826,4543397,0.7797540217543028,0.012084592145015106,103761,67,8
4705108,2629120,0.0,0.0,514,68,0
617435,2721940,0.4955308942022823,0.005753739930955121,133369,69,5
2022904,1202849,0.2469797195417272,0.01485148514851485,2134,70,3
4797294,3735230,0.0,0.0,2003,71,0
2450052,2549546,0.2583177668073288,0.0078125,3560,72,1
24523,497993,0.0,0.0,24896,73,0
4576342,1043689,0.2992252479497456,0.007263922518159807,33660,74,3
1875903,2638090,0.8704863190396206,0.0001712670910284589,5927730,75,6
